c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
875,89,91,18,13,78,254,8,15,43,961,603,1045,1937,667,868,1235,912,1062,1412,90,90,30,90,90,50,50,-10,10,-50,True,ranked

150,19,99,81,142,777,28,10,523,412,1297,1795,933,1412,1083,1000,734,1096,1135,859,-50,-10,-10,-50,50,-30,-30,-90,-30,-10,True,ranked

136,113,34,145,25,82,51,157,22,16,986,910,1000,1412,1680,1292,1090,911,1000,867,50,50,50,-50,50,10,-90,-30,10,-50,True,ranked

36,876,234,147,99,875,9,1,51,518,930,800,784,627,829,780,1212,880,1412,1460,30,-30,30,-30,50,-30,50,-10,-50,-10,False,ranked

78,141,268,21,98,2,54,74,15,99,861,1109,1287,1344,962,1315,1827,865,827,595,-90,-10,-50,50,10,-10,-10,-30,-50,30,False,ranked

19,36,99,523,555,6,141,61,81,92,923,972,595,661,557,1369,1682,1515,884,1000,-10,90,30,50,50,-50,-50,-50,-30,-30,True,ranked

17,131,777,145,99,133,141,84,15,350,902,708,753,957,595,582,691,878,848,747,-50,-10,-10,-30,30,90,50,50,90,-30,False,ranked

